istituto,tasso_affollamento,posti_regolamentari,posti_non_disponibili,posti_disponibili,totale_detenuti,dati_aggiornati_al,polizia_penitenziaria_previsti,polizia_penitenziaria_effettivi,personale_polizia_penitenziaria_aggiornato_al,amministrativi_effettivi,amministrativi_previsti,personale_amministrativo_aggiornato_al,numero_complessivo_stanze,numero_non_disponibili_stanze,doccia,bidet,portatori_handicap,servizi_igienici_con_porta,accensione_luce_autonoma,prese_elettriche,data_aggiornamento_spazi_detentivi,stanze_disponibili,detenuti_stanza,polizia_pers,doccia_pers,bidet_pers,servizi_pers,luci_pers,prese_pers,suicidi_2002,suicidi_2003,suicidi_2004,suicidi_2005,suicidi_2006,suicidi_2007,suicidi_2008,suicidi_2009,suicidi_2010,suicidi_2011,suicidi_2012,suicidi_2013,suicidi_2014,suicidi_2015,suicidi_2016,suicidi_2017,suicidi_2018,suicidi_2019,suicidi_2020,suicidi_2021,suicidi_2022,suicidi_2023,suicidi_2024,suicidi_totali,personale_previsti,personale_effettivi,personale_mancante_perc
Spoleto,105.48245614035088,456,0,456,481,2025-04-08,273,242,2025-02-28,30,32,2025-02-28,403.0,0.0,141.0,1.0,2.0,403.0,403.0,320.0,2025-04-08,403.0,1.1935483870967742,0.5031185031185031,3.4113475177304964,481.0,1.19,1.1935483870967742,0.6652806652806653,1,0,0,2,0,0,0,1,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,10,305,272,10.819672131147541
Sulmona,88.64970645792563,519,8,511,453,2025-04-08,255,259,2025-02-28,24,31,2025-02-28,367.0,2.0,83.0,354.0,4.0,367.0,367.0,77.0,2025-04-08,365.0,1.2410958904109588,0.5717439293598234,5.457831325301205,1.2796610169491525,1.23,1.2343324250681198,0.16997792494481237,0,1,2,3,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,286,283,1.048951048951049
Taranto,194.824016563147,500,17,483,941,2025-04-08,297,327,2025-02-28,26,31,2025-02-28,349.0,17.0,135.0,96.0,5.0,349.0,280.0,76.0,2025-04-08,332.0,2.8343373493975905,0.3475026567481403,6.970370370370371,9.802083333333334,2.7,3.3607142857142858,0.08076514346439957,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,2,2,0,0,1,3,0,14,328,353,-7.621951219512195
Tempio Pausania,96.47058823529412,170,0,170,164,2025-04-08,146,100,2025-02-28,14,19,2025-02-28,90.0,0.0,90.0,18.0,4.0,90.0,90.0,90.0,2025-04-08,90.0,1.8222222222222222,0.6097560975609756,1.8222222222222222,9.11111111111111,1.82,1.8222222222222222,0.5487804878048781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,165,114,30.909090909090907
Teramo,171.93675889328063,255,2,253,435,2025-04-08,206,173,2025-02-28,18,21,2025-02-28,239.0,2.0,11.0,26.0,1.0,239.0,5.0,4.0,2025-04-08,237.0,1.8354430379746836,0.39770114942528734,39.54545454545455,16.73076923076923,1.82,87.0,0.009195402298850575,0,0,0,2,1,0,1,2,1,1,4,0,1,1,0,0,0,0,0,0,0,0,3,17,227,191,15.859030837004406
Termini Imerese,104.21052631578947,95,0,95,99,2025-04-08,80,92,2025-02-28,9,13,2025-02-28,51.0,0.0,42.0,1.0,1.0,42.0,35.0,51.0,2025-04-08,51.0,1.9411764705882353,0.9292929292929293,2.357142857142857,99.0,2.36,2.8285714285714287,0.5151515151515151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,93,101,-8.60215053763441
Terni,139.5734597156398,422,0,422,589,2025-04-08,243,215,2025-02-28,28,26,2025-02-28,281.0,0.0,70.0,201.0,4.0,281.0,281.0,71.0,2025-04-08,281.0,2.096085409252669,0.36502546689303905,8.414285714285715,2.9303482587064678,2.1,2.096085409252669,0.12054329371816638,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,4,2,13,269,243,9.66542750929368
Tolmezzo,123.12925170068027,149,2,147,181,2025-04-08,175,161,2025-02-28,9,19,2025-02-28,149.0,2.0,2.0,149.0,0.0,149.0,0.0,0.0,2025-04-08,147.0,1.2312925170068028,0.8895027624309392,90.5,1.2147651006711409,1.21,inf,0.0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,194,170,12.371134020618557
Torino,127.07383773928898,1117,20,1097,1394,2025-04-08,762,704,2025-02-28,51,55,2025-02-28,936.0,20.0,14.0,90.0,7.0,936.0,936.0,902.0,2025-04-08,916.0,1.5218340611353711,0.5050215208034433,99.57142857142857,15.488888888888889,1.49,1.4893162393162394,0.6470588235294118,2,0,0,2,0,2,2,0,1,3,2,1,0,0,0,1,1,2,1,1,4,4,2,31,817,755,7.588739290085679
Trani,133.33333333333331,447,150,297,396,2025-04-08,237,210,2025-02-28,28,26,2025-02-28,202.0,89.0,114.0,94.0,7.0,146.0,114.0,202.0,2025-04-08,113.0,3.504424778761062,0.5303030303030303,3.473684210526316,4.212765957446808,2.71,3.473684210526316,0.51010101010101,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,263,238,9.505703422053232
Trani femminile,109.375,32,0,32,35,2025-04-08,0,0,2025-02-28,0,0,2025-02-28,19.0,0.0,0.0,19.0,0.0,19.0,19.0,0.0,2025-04-08,19.0,1.8421052631578947,0.0,inf,1.8421052631578947,1.84,1.8421052631578947,0.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0.0
